الشركة,رقم الحساب,اسم الحساب,التاريخ,رقم السند,نوع المستند,البيان/الشرح,المبلغ
SHK,6020101003,مصاريف تصدير,1/10/2026,26000202,قيد يومي,منشأ(Reversal) - 472,-23.05
SHK,6020101003,مصاريف تصدير,1/10/2026,26000202,قيد يومي,حلال(Reversal) - 472,-248.5
SHK,6020101003,مصاريف تصدير,1/10/2026,26100057,قيد يومي,حلال,248.5
SHK,6020101003,مصاريف تصدير,1/10/2026,26100057,قيد يومي,منشأ,23.05
SHK,6020101010,مصاريف صيانة سيارات,1/10/2026,26100057,قيد يومي,صيانة سيارة,255.35
SHK,6020101013,مصاريف بيعية,1/11/2026,26000010,سند صرف,شيك رقم 15127,1040
SHK,6010101020,مصاريف حكومية,1/12/2026,26100071,قيد يومي,تجديد غرفة صناعة عمان,301
SHK,6010101004,مصاريف ضيافة,1/12/2026,26100074,قيد يومي,كراتين مياه عدد 10,11.5
SHK,6020101010,مصاريف صيانة سيارات,1/12/2026,26100074,قيد يومي,بنشر,5
SHK,6020101012,مصاريف محروقات سيارات,1/12/2026,26100074,قيد يومي,ديزل,30
SHK,6010101012,مصاريف لوازم مستهلكة,1/12/2026,26100074,قيد يومي,اسمنت حراري + رمال,99
SHK,6010101012,مصاريف لوازم مستهلكة,1/12/2026,26100077,قيد يومي,اسيتون غالون عدد 1,26
SHK,6010101004,مصاريف ضيافة,1/12/2026,26100078,قيد يومي,ف/رقم 2025200716 قهوة 3 كغم,33
SHK,6020101012,مصاريف محروقات سيارات,1/12/2026,26100080,قيد يومي,ديزل,15
SHK,6020101016,مصاريف قبان,1/12/2026,26100080,قيد يومي,قبان,2
SHK,6020101005,مصاريف تعبئة وتغليف,1/12/2026,26100081,قيد يومي,ف/رقم 10041 اكياس للسمسم,62.069
SHK,6010101012,مصاريف لوازم مستهلكة,1/11/2026,26100082,قيد يومي,ف/رقم 79232,93.103
SHK,6010101022,مصاريف عمولات زين كاش,1/12/2026,26100087,قيد يومي,عمولة,0.35
SHK,6010101022,مصاريف عمولات زين كاش,1/12/2026,26100087,قيد يومي,عمولة,0.35
SHK,6010101022,مصاريف عمولات زين كاش,1/12/2026,26100088,قيد يومي,عمولات,0.35
SHK,6010101022,مصاريف عمولات زين كاش,1/12/2026,26100088,قيد يومي,عمولات,0.35
SHK,6010101023,مصاريف سفر واقامة وتنقلات,1/12/2026,26100089,قيد يومي,مصاريف سفر,580
SHK,6020101003,مصاريف تصدير,1/12/2026,26100089,قيد يومي,منشأ,29.4
SHK,6010101022,مصاريف عمولات زين كاش,1/12/2026,26100089,قيد يومي,عمولات,0.35
SHK,6010101019,مصاريف رسوم ورخص وأشتراكات,1/12/2026,26100089,قيد يومي,تجديد اشتراك غرفة التجارة,200
SHK,6010101022,مصاريف عمولات زين كاش,1/12/2026,26100090,قيد يومي,عمولات,0.35
SHK,6010101022,مصاريف عمولات زين كاش,1/12/2026,26000313,قيد يومي,راتب خليل الغلبان,0.35
SHK,6010101022,مصاريف عمولات زين كاش,1/12/2026,26100092,قيد يومي,تابع لفاتورة مشتريات رقم 26000010,0.35
SHK,6020101015,مصاريف تحميل وتنزيل,1/12/2026,26000014,سند صرف,نضال,15
SHK,6010101020,مصاريف حكومية,1/12/2026,26000016,سند صرف,Outgoing Payments - 6010101020,1
SHK,6010101009,مصاريف متفرقة,1/12/2026,26100093,قيد يومي,اغراض,7
SHK,6010101004,مصاريف ضيافة,1/12/2026,26100093,قيد يومي,كاسات بلاستيك,2
SHK,6020101006,مصاريف معارض,1/12/2026,26100093,قيد يومي,ف/1738,19.819
SHK,6020101015,مصاريف تحميل وتنزيل,1/12/2026,26100093,قيد يومي,اجور عمال,5
SHK,6010101004,مصاريف ضيافة,1/12/2026,26100093,قيد يومي,مياه,2
SHK,6010101009,مصاريف متفرقة,1/12/2026,26100093,قيد يومي,مواقف,9.5
SHK,6010101009,مصاريف متفرقة,1/12/2026,26100093,قيد يومي,مواقف,5
SHK,6010101004,مصاريف ضيافة,1/12/2026,26100093,قيد يومي,كاسات عميد,5.45
SHK,6010101018,مصاريف قرطاسية ومطبوعات,1/12/2026,26100093,قيد يومي,سحب عقود,3.5
SHK,6010101018,مصاريف قرطاسية ومطبوعات,1/12/2026,26100093,قيد يومي,ف/15487 طباعة,3
SHK,6020101013,مصاريف بيعية,1/13/2026,26100106,قيد يومي,مصاريف بيعية,925
SHK,6010101021,مصاريف عمولات بنكية,1/13/2026,26100112,قيد يومي,عمولات بنكية لتاريخ 11/01/2026,21
SHK,6010101021,مصاريف عمولات بنكية,1/13/2026,26100114,قيد يومي,عمولات شيكات مؤجلة,0.35
SHK,6020101016,مصاريف قبان,1/13/2026,26100115,قيد يومي,مصاريف قبان,2
SHK,6020101014,خصم مسموح به,1/13/2026,26000424,قيد يومي,خصم نقدي ف 304301 /2025,33.25
SHK,6020101010,مصاريف صيانة سيارات,1/13/2026,26100118,قيد يومي,فاتوره رقم0098-صيانة سيارات,5
SHK,6010101003,مصاريف النظافة,1/13/2026,26100118,قيد يومي,فاتوره رقم -طرد شفاف عدد3,20
SHK,6010101004,مصاريف ضيافة,1/13/2026,26100118,قيد يومي,فاتورة كرتونة مياه,5.75
SHK,6010101018,مصاريف قرطاسية ومطبوعات,1/13/2026,26100118,قيد يومي,فاتورة مصاريف قرطاسيه,6.5
SHK,6020101014,خصم مسموح به,1/13/2026,26000457,قيد يومي,خ ن ف 305788/ 2025,8.142
SHK,6020101014,خصم مسموح به,1/12/2026,26000495,قيد يومي,فرق احتساب ف 26100079,35
SHK,6020101015,مصاريف تحميل وتنزيل,1/14/2026,26100121,قيد يومي,نضال,10
SHK,6010101019,مصاريف رسوم ورخص وأشتراكات,1/14/2026,26100122,قيد يومي,تجديد اشتراك الايميل,160
SHK,6010101022,مصاريف عمولات زين كاش,1/14/2026,26100122,قيد يومي,تجديد اشتراك الايميل,0.35
SHK,6020101010,مصاريف صيانة سيارات,1/14/2026,26100124,قيد يومي,ف/رقم 783 صيانة سيارة مجدي,15
SHK,6020101015,مصاريف تحميل وتنزيل,1/15/2026,26100127,قيد يومي,اجرة عامل - مجدي القجطاني,10
SHK,6020101016,مصاريف قبان,1/15/2026,26100128,قيد يومي,قبان,2
SHK,6020101010,مصاريف صيانة سيارات,1/15/2026,26100129,قيد يومي,صيانه سيارة ابو لؤي,101
SHK,6020101006,مصاريف معارض,1/15/2026,26100130,قيد يومي,ف/رقم 2100 مصاريف معرض دبي,326.35
SHK,6010101022,مصاريف عمولات زين كاش,1/15/2026,26100131,قيد يومي,بورسلان,0.35
SHK,6010101012,مصاريف لوازم مستهلكة,1/15/2026,26100131,قيد يومي,بورسلان,100
SHK,6020101012,مصاريف محروقات سيارات,1/15/2026,26100133,قيد يومي,ديزل,41.004
SHK,6020101012,مصاريف محروقات سيارات,1/15/2026,26100133,قيد يومي,ديزل,40.446
SHK,6020101015,مصاريف تحميل وتنزيل,1/15/2026,26100134,قيد يومي,تحميل وتنزيل للولاء,45
SHK,6010101022,مصاريف عمولات زين كاش,1/15/2026,26100134,قيد يومي,تحميل وتنزيل للولاء,0.35
SHK,6010101022,مصاريف عمولات زين كاش,1/15/2026,26100134,قيد يومي,سلفة عمل بيد حسام الدرابيع,0.35
SHK,6010101006,مصاريف كهرباء,1/15/2026,26100135,قيد يومي,كهرباء,400
SHK,6020101010,مصاريف صيانة سيارات,1/15/2026,26000040,سند صرف,Outgoing Payments - 6020101010,525
SHK,6020101012,مصاريف محروقات سيارات,1/15/2026,26100136,قيد يومي,ديزل,35
SHK,6010101009,مصاريف متفرقة,1/15/2026,26100136,قيد يومي,صيانة ماكينات خياطة,7
SHK,6010101012,مصاريف لوازم مستهلكة,1/15/2026,26100136,قيد يومي,ف/رقم 255,5
SHK,6010101004,مصاريف ضيافة,1/15/2026,26100136,قيد يومي,كراتين مياه عدد 10 + نسكافيه,18
SHK,6020101012,مصاريف محروقات سيارات,1/15/2026,26100136,قيد يومي,ديزل,20
SHK,6020101015,مصاريف تحميل وتنزيل,1/15/2026,26100139,قيد يومي,مخالصة صلاح ابو قدوم,226.5
SHK,6020101015,مصاريف تحميل وتنزيل,1/15/2026,26100139,قيد يومي,دوام مجدي يوم جمعة,10
SHK,6020101016,مصاريف قبان,1/15/2026,26100139,قيد يومي,قبان ابو لؤي,2
SHK,6020101015,مصاريف تحميل وتنزيل,1/15/2026,26100140,قيد يومي,تحميل نضال,20
SHK,6010101004,مصاريف ضيافة,1/15/2026,26100141,قيد يومي,كرتونة مياه عدد 21,24.15
SHK,6010101009,مصاريف متفرقة,1/15/2026,26100141,قيد يومي,تصوير اوراق,1
SHK,6020101010,مصاريف صيانة سيارات,1/15/2026,26100141,قيد يومي,بنشر,2
SHK,6020101017,مصاريف شحن سيارات,1/15/2026,26100141,قيد يومي,قاعدة شحن سيارة سفيان,12
SHK,6010101009,مصاريف متفرقة,1/17/2026,26100148,قيد يومي,متفرقه,50.5
SHK,6010101009,مصاريف متفرقة,1/17/2026,26100148,قيد يومي,بنزين سيارة جبر,30
SHK,6010101020,مصاريف حكومية,1/17/2026,26100148,قيد يومي,شهادة منشا,59.5
SHK,6010101022,مصاريف عمولات زين كاش,1/17/2026,26100149,قيد يومي,تحويل من المول لابو قيس,0.5
SHK,6020101010,مصاريف صيانة سيارات,1/18/2026,26100156,قيد يومي,شيك رقم 15144 حق 14012026,391
SHK,6010101022,مصاريف عمولات زين كاش,1/12/2026,25000423,قيد يومي,تابع لفاتورة مشتريات رقم 26000010(Reversal) - 805,-0.35
SHK,6010101022,مصاريف عمولات زين كاش,1/18/2026,26100157,قيد يومي,تابع لفاتورة مشتريات رقم 26000010,0.35
SHK,6020101013,مصاريف بيعية,1/18/2026,26100158,قيد يومي,بيعية,1000
SHK,6020101013,مصاريف بيعية,1/18/2026,26100158,قيد يومي,بيعية,1000
SHK,6020101013,مصاريف بيعية,1/18/2026,26100158,قيد يومي,بيعية,1000
SHK,6010101020,مصاريف حكومية,1/18/2026,26100160,قيد يومي,جمارك,20.5
SHK,6020101003,مصاريف تصدير,1/18/2026,26100160,قيد يومي,منشأ,13.5
SHK,6010101022,مصاريف عمولات زين كاش,1/18/2026,26100162,قيد يومي,تجديد اشتراك جمعية المستثمرين,0.35
SHK,6010101019,مصاريف رسوم ورخص وأشتراكات,1/18/2026,26100162,قيد يومي,تجديد اشتراك جمعية المستثمرين,150
SHK,6020101015,مصاريف تحميل وتنزيل,1/18/2026,26100164,قيد يومي,نضال,14.152
SHK,6010101022,مصاريف عمولات زين كاش,1/18/2026,26100169,قيد يومي,ف/رقم 92 لف مضخات 3 فاز,0.35
SHK,6010101021,مصاريف عمولات بنكية,1/18/2026,26100170,قيد يومي,تحويل لزين كاش,0.7
SHK,6020101010,مصاريف صيانة سيارات,1/18/2026,26100173,قيد يومي,قفل امريكي,7
SHK,6020101010,مصاريف صيانة سيارات,1/18/2026,26100173,قيد يومي,عاكس + مراي,12
SHK,6010101009,مصاريف متفرقة,1/18/2026,26100176,قيد يومي,مصاريف ابو العبد,5
SHK,6020101014,خصم مسموح به,1/18/2026,25000525,قيد يومي,خصم فرق سعر ف 26100236,15.232
SHK,6020101015,مصاريف تحميل وتنزيل,1/19/2026,26100182,قيد يومي,حساب عيد المصري,860
SHK,6010101022,مصاريف عمولات زين كاش,1/19/2026,26100182,قيد يومي,حساب عيد المصري,0.35
SHK,6010101022,مصاريف عمولات زين كاش,1/19/2026,26100183,قيد يومي,اصدار شهادة منشأ - مؤسسة اعزاز,0.35
SHK,6020101003,مصاريف تصدير,1/19/2026,26100183,قيد يومي,اصدار شهادة منشأ - مؤسسة اعزاز,450
SHK,6020101016,مصاريف قبان,1/19/2026,26100188,قيد يومي,قبان,2
SHK,6020101010,مصاريف صيانة سيارات,1/19/2026,26100188,قيد يومي,صيانة سيارة ابو اؤي,45
SHK,6010101004,مصاريف ضيافة,1/19/2026,26100189,قيد يومي,لحمة,77.5
SHK,6020101012,مصاريف محروقات سيارات,1/19/2026,26100189,قيد يومي,ديزل,10
SHK,6010101004,مصاريف ضيافة,1/19/2026,26100189,قيد يومي,لبن + عصير,3.8
SHK,6010101004,مصاريف ضيافة,1/19/2026,26100189,قيد يومي,لبن + عصير,25
SHK,6010101004,مصاريف ضيافة,1/19/2026,26100189,قيد يومي,نسكافيه كلاسيك + كرتونة مياه عدد 15,21.25
SHK,6010101012,مصاريف لوازم مستهلكة,1/19/2026,26100189,قيد يومي,غاز,14
SHK,6010101004,مصاريف ضيافة,1/19/2026,26000671,قيد يومي,لحمة(Reversal) - 1565,-77.5
SHK,6010101012,مصاريف لوازم مستهلكة,1/19/2026,26000671,قيد يومي,غاز(Reversal) - 1565,-14
SHK,6020101012,مصاريف محروقات سيارات,1/19/2026,26000671,قيد يومي,ديزل(Reversal) - 1565,-10
SHK,6010101004,مصاريف ضيافة,1/19/2026,26000671,قيد يومي,لبن + عصير(Reversal) - 1565,-25
SHK,6010101004,مصاريف ضيافة,1/19/2026,26000671,قيد يومي,نسكافيه كلاسيك + كرتونة مياه عدد 15(Reversal) - 1565,-21.25
SHK,6010101004,مصاريف ضيافة,1/19/2026,26000671,قيد يومي,لبن + عصير(Reversal) - 1565,-3.8
SHK,6010101012,مصاريف لوازم مستهلكة,1/19/2026,26100190,قيد يومي,غاز,14
SHK,6010101004,مصاريف ضيافة,1/19/2026,26100190,قيد يومي,نسكافيه كلاسيك + كرتونة مياه عدد 15,21.25
SHK,6010101004,مصاريف ضيافة,1/19/2026,26100190,قيد يومي,سدر زرب,25
SHK,6010101004,مصاريف ضيافة,1/19/2026,26100190,قيد يومي,لبن + عصير,3.8
SHK,6020101012,مصاريف محروقات سيارات,1/19/2026,26100190,قيد يومي,ديزل,10
SHK,6010101004,مصاريف ضيافة,1/19/2026,26100190,قيد يومي,لحمة,77.5
SHK,6010101004,مصاريف ضيافة,1/19/2026,26100193,قيد يومي,كبسولات دافيدوف,3.75
SHK,6010101003,مصاريف النظافة,1/19/2026,26100193,قيد يومي,فاين,4.25
SHK,6010101009,مصاريف متفرقة,1/19/2026,26100193,قيد يومي,طوابع,2.1
SHK,6010101004,مصاريف ضيافة,1/19/2026,26100193,قيد يومي,قهوة,4
SHK,6010101004,مصاريف ضيافة,1/19/2026,26100193,قيد يومي,كاسات ورقية,2
SHK,6020101017,مصاريف شحن سيارات,1/19/2026,26100195,قيد يومي,شحن سيارة جهاد فقوسة,95
SHK,6010101018,مصاريف قرطاسية ومطبوعات,1/19/2026,26100196,قيد يومي,ف/رقم 595 رول 10 سم طابعات للتاب,56.034
SHK,6010101004,مصاريف ضيافة,1/20/2026,26100202,قيد يومي,ف/رقم 2026200001 قهوة 3 كغم,33
SHK,6010101012,مصاريف لوازم مستهلكة,1/20/2026,26100205,قيد يومي,صوبة سامكس كهرباء,17.241
SHK,6010101004,مصاريف ضيافة,1/20/2026,26100205,قيد يومي,زهورات,5
SHK,6010101004,مصاريف ضيافة,1/20/2026,26000730,قيد يومي,زهورات(Reversal) - 1644,-5
SHK,6010101012,مصاريف لوازم مستهلكة,1/20/2026,26000730,قيد يومي,صوبة سامكس كهرباء(Reversal) - 1644,-17.241
SHK,6010101004,مصاريف ضيافة,1/20/2026,26100206,قيد يومي,زهورات,5
SHK,6010101012,مصاريف لوازم مستهلكة,1/20/2026,26100206,قيد يومي,صوبة سامكس كهرباء,17.241
SHK,6020101018,مصاريف فحص عينات,1/20/2026,26100210,قيد يومي,فحص عينات,90.5
SHK,6020101010,مصاريف صيانة سيارات,1/20/2026,26100211,قيد يومي,بنشر,2
SHK,6010101012,مصاريف لوازم مستهلكة,1/20/2026,26000054,سند صرف,شيك رقم 14970 حق 19/2/2026 طبالي,890
SHK,6020101008,مصاريف نقل وشحن,1/20/2026,26000055,سند صرف,شيك رقم 15151 حق 14/1/2026 البحر الكاريبي للشحن الدولي,4314.72
SHK,6020101012,مصاريف محروقات سيارات,1/21/2026,26100215,قيد يومي,كهرباء سيارة سامر,30
SHK,6020101011,مصاريف تأمين وترخيص ومخالفات سيارات,1/21/2026,26100215,قيد يومي,مصاريف ترخيص وتأمين سيارة سامر الدويك,169.05
SHK,6010101009,مصاريف متفرقة,1/21/2026,26100219,قيد يومي,طوابع - وزارة العدل,5.15
SHK,6010101009,مصاريف متفرقة,1/21/2026,26100220,قيد يومي,طوابع + رسوم كاتب العدل,14.5
SHK,6010101022,مصاريف عمولات زين كاش,1/21/2026,26100221,قيد يومي,تحويل للبنك,0.35
SHK,6010101022,مصاريف عمولات زين كاش,1/21/2026,26100223,قيد يومي,تحويل للراجحي,0.35
SHK,6010101021,مصاريف عمولات بنكية,1/21/2026,26100224,قيد يومي,حوالة لزين كاش,0.7
SHK,6020101003,مصاريف تصدير,1/21/2026,26100225,قيد يومي,منشأ,17.15
SHK,6020101003,مصاريف تصدير,1/21/2026,26100225,قيد يومي,منشأ,51.35
SHK,6010101022,مصاريف عمولات زين كاش,1/21/2026,26100226,قيد يومي,بيعية,0.35
SHK,6020101013,مصاريف بيعية,1/21/2026,26100226,قيد يومي,بيعية,300
SHK,6010101009,مصاريف متفرقة,1/21/2026,26100230,قيد يومي,طوابع الفواتير المسددة بسند قبض رقم 26700208,13
SHK,6010101023,مصاريف سفر واقامة وتنقلات,1/21/2026,26100231,قيد يومي,مصاريف سفر,1285
SHK,6010101023,مصاريف سفر واقامة وتنقلات,1/21/2026,26100232,قيد يومي,مصاريف سفر الدكتور الى دبي,678.525
SHK,6010101022,مصاريف عمولات زين كاش,1/21/2026,26100232,قيد يومي,مصاريف سفر الدكتور الى دبي,0.35
SHK,6020101015,مصاريف تحميل وتنزيل,1/21/2026,26100233,قيد يومي,اجرة عامل,12
SHK,6020101017,مصاريف شحن سيارات,1/21/2026,26100241,قيد يومي,شحس سيارة سفيان,3.25
SHK,6020101017,مصاريف شحن سيارات,1/21/2026,26100244,قيد يومي,شحن سيارة امجد زكي,90
SHK,6020101017,مصاريف شحن سيارات,1/21/2026,26100245,قيد يومي,شحن سيارة لؤي السيد,35.02
SHK,6020101011,مصاريف تأمين وترخيص ومخالفات سيارات,1/21/2026,26100247,قيد يومي,ترخيص سيارة رقم 61651-47,64.55
SHK,6020101011,مصاريف تأمين وترخيص ومخالفات سيارات,1/21/2026,26100247,قيد يومي,دفع مخالفات سيارة رقم 61651-47,20.25
SHK,6020101011,مصاريف تأمين وترخيص ومخالفات سيارات,1/21/2026,26100247,قيد يومي,تأمين سيارة رقم 61651-47,92.48
SHK,6020101003,مصاريف تصدير,1/21/2026,26100248,قيد يومي,منشا,113.7
SHK,6010101022,مصاريف عمولات زين كاش,1/21/2026,26100248,قيد يومي,تحويل للمول,0.35
SHK,6020101014,خصم مسموح به,1/21/2026,26000866,قيد يومي,خصم فواتير غير محملة 2025,1287
SHK,6010101022,مصاريف عمولات زين كاش,1/21/2026,26000869,قيد يومي,تحويل للمول(Reversal) - 1833,-0.35
SHK,6020101003,مصاريف تصدير,1/21/2026,26000869,قيد يومي,منشا(Reversal) - 1833,-113.7
SHK,6010101022,مصاريف عمولات زين كاش,1/21/2026,26100251,قيد يومي,تحويل للمول,0.35
SHK,6020101003,مصاريف تصدير,1/21/2026,26100251,قيد يومي,منشا,113.7
SHK,6010101021,مصاريف عمولات بنكية,1/13/2026,26000871,قيد يومي,عمولات شيكات مؤجلة(Reversal) - 927,-0.35
SHK,6010101021,مصاريف عمولات بنكية,1/21/2026,26100252,قيد يومي,عمولات شيكات مؤجلة,0.35
SHK,6010101018,مصاريف قرطاسية ومطبوعات,1/21/2026,26100254,قيد يومي,ورق + تغليف + طباعة,30
SHK,6010101009,مصاريف متفرقة,1/21/2026,26100254,قيد يومي,دبل فيس,0.75
SHK,6010101008,مصاريف أتعاب مهنية,1/22/2026,26000125,فاتورة مشتريات,A/P Invoices - LV0000193,2000
SHK,6020101003,مصاريف تصدير,1/22/2026,26100257,قيد يومي,شهادة حلال - تصدير للسعودية,115
SHK,6010101022,مصاريف عمولات زين كاش,1/22/2026,26100257,قيد يومي,شهادة حلال - تصدير للسعودية,0.35
SHK,6020101014,خصم مسموح به,1/21/2026,26000921,قيد يومي,خصم 4%دفعة فراس جبر,61.975
SHK,6020101014,خصم مسموح به,1/21/2026,26000922,قيد يومي,خصم 4%دفعة فراس جبر(Reversal) - 1920,-61.975
SHK,6020101014,خصم مسموح به,1/21/2026,26000923,قيد يومي,خصم 4% دفعة فراس جبر,61.975
SHK,6010101009,مصاريف متفرقة,1/22/2026,26100267,قيد يومي,مواقف- ابو العبد,13.5
SHK,6010101018,مصاريف قرطاسية ومطبوعات,1/22/2026,26100267,قيد يومي,ف/رقم 353 تقويم مكتب,4
SHK,6010101009,مصاريف متفرقة,1/22/2026,26100267,قيد يومي,متفرقات - ابو العبد,6
SHK,6010101012,مصاريف لوازم مستهلكة,1/22/2026,26100271,قيد يومي,مصاريف صيانة مخزن اربد,585.6
SHK,6010101013,مصاريف أيجارات,1/22/2026,26100271,قيد يومي,مصاريف ايجار اربد,600
SHK,6020101012,مصاريف محروقات سيارات,1/22/2026,26100273,قيد يومي,ديزل,8
SHK,6020101015,مصاريف تحميل وتنزيل,1/22/2026,26100274,قيد يومي,تحميل وتنزيل نضال,30
